SeqName	Length	Description	GO IDs
FAGR_UCONN_00088	1318	"ABI34306.1Polyprotein, putative"	GO:0015074;GO:0003676;GO:0008270;GO:0016740;GO:0046983
FAGR_UCONN_00089	283	KAA8517060.1hypothetical protein F0562_017122	GO:0015074;GO:0003676;GO:0016740
FAGR_UCONN_00090	534	XP_030972614.1berberine bridge enzyme-like 4	GO:0016491;GO:0071949
FAGR_UCONN_00091	229	XP_023915815.1probable transcription factor At1g61730	GO:0006355
FAGR_UCONN_00092	85	KYP31619.1Copia protein	GO:0015074;GO:0003676;GO:0004491;GO:0008270
FAGR_UCONN_00093	284	"XP_023880430.1LOW QUALITY PROTEIN: uncharacterized protein LOC111992800, partial"	GO:0003676;GO:0008270
FAGR_UCONN_00094	460	RVX14147.1Retrovirus-related Pol polyprotein from transposon TNT 1-94	GO:0006725;GO:0034641;GO:0044238;GO:0046483;GO:1901360;GO:0000166;GO:0004553;GO:0016301;GO:0016491;GO:0046914;GO:0110165
FAGR_UCONN_00095	361	XP_050241433.1uncharacterized protein LOC126690370	
FAGR_UCONN_00096	291	XP_023922447.1uncharacterized protein LOC112033906	GO:0006886;GO:0005488
FAGR_UCONN_00097	441	XP_042951532.1epidermis-specific secreted glycoprotein EP1-like	GO:0030246
FAGR_UCONN_00098	308	XP_050290025.1uncharacterized protein LOC126728205	
FAGR_UCONN_00099	324	XP_050271572.1zinc-finger homeodomain protein 9-like	GO:0006355;GO:0000976;GO:0003700;GO:0005634
FAGR_UCONN_00100	269	KAA8539386.1hypothetical protein F0562_026078	GO:0003824
FAGR_UCONN_00101	227	XP_050241223.1E3 ubiquitin-protein ligase AIP2-like	GO:0016567;GO:0008270;GO:0061630;GO:0005737
FAGR_UCONN_00102	173	XP_031739764.1uncharacterized protein LOC116403291	GO:0005488
FAGR_UCONN_00103	119	XP_010649469.1PREDICTED: uncharacterized protein LOC104879198	GO:0016020
FAGR_UCONN_00104	196	XP_035546671.1uncharacterized protein LOC118348678	
FAGR_UCONN_00105	475	XP_050258278.1UDP-glycosyltransferase 89B2	GO:0008194
FAGR_UCONN_00106	276	XP_030967614.1protein SENSITIVITY TO RED LIGHT REDUCED 1-like	GO:0007017;GO:0005634;GO:0005737
FAGR_UCONN_00107	632	RVW71911.1Retrovirus-related Pol polyprotein from transposon TNT 1-94	GO:0015074;GO:0003676
FAGR_UCONN_00108	113	XP_026395085.1uncharacterized protein LOC113289877	
FAGR_UCONN_00109	323	XP_050251440.1uncharacterized protein LOC126698334	
FAGR_UCONN_00110	166	XP_050256478.1pentatricopeptide repeat-containing protein At1g18485	GO:0009451;GO:0003729;GO:0008270;GO:0016787;GO:0043231
FAGR_UCONN_00111	822	CAH9142320.1unnamed protein product	GO:0006278;GO:0015074;GO:0003676;GO:0003964;GO:0008270
FAGR_UCONN_00112	323	RVW71911.1Retrovirus-related Pol polyprotein from transposon TNT 1-94	GO:0015074;GO:0003676
FAGR_UCONN_00113	331	POF21557.1cytochrome p450 82c4	GO:0004497;GO:0005506;GO:0016705;GO:0020037;GO:0016020
FAGR_UCONN_00114	417	KAG2411346.1hypothetical protein I3760_Q009300	GO:0015074;GO:0003676;GO:0008270
FAGR_UCONN_00115	165	GAV65970.1zf-CCHC domain-containing protein/DUF4219 domain-containing protein/UBN2 domain-containing protein	GO:0003676;GO:0008270
FAGR_UCONN_00116	195	XP_050284008.1cytochrome P450 705A22-like isoform X2	GO:0004497;GO:0005506;GO:0016705;GO:0020037;GO:0016020
FAGR_UCONN_00117	349	XP_023893076.1pectinesterase-like	GO:0042545;GO:0045490;GO:0030599;GO:0045330;GO:0046910;GO:0110165
FAGR_UCONN_00118	442	KAF3949658.1hypothetical protein CMV_024501	GO:0006508;GO:0004190
FAGR_UCONN_00119	208	XP_050271846.1uncharacterized protein LOC126715328	GO:0015074;GO:0003676;GO:0004523
FAGR_UCONN_00120	497	XP_030923824.1probable xyloglucan galactosyltransferase GT14	GO:0016757;GO:0000139
FAGR_UCONN_00121	522	XP_050253268.1cytochrome P450 89A2-like isoform X1	GO:0005506;GO:0016709;GO:0020037;GO:0016020
FAGR_UCONN_00122	689	XP_030930990.1uncharacterized protein LOC115956854	
FAGR_UCONN_00123	1297	KAE8124234.1hypothetical protein FH972_019138	GO:0016310;GO:0016301
FAGR_UCONN_00124	805	YP_009568665.1hypothetical chloroplast RF21	GO:0005524;GO:0016887;GO:0009570;GO:0016020
FAGR_UCONN_00125	498	KAF3950062.1hypothetical protein CMV_024138	GO:0016020
FAGR_UCONN_00126	620	TYK12316.1Retrovirus-related Pol polyprotein from transposon TNT 1-94	GO:0015074;GO:0003676;GO:0008270
FAGR_UCONN_00127	228	XP_038983646.1uncharacterized mitochondrial protein AtMg00810-like	GO:0015074;GO:0003676;GO:0016020
FAGR_UCONN_00128	556	KAH9793417.1Integrase catalytic domain-containing protein	GO:0015074;GO:0003676
FAGR_UCONN_00129	798	KAA8517060.1hypothetical protein F0562_017122	GO:0015074;GO:0003676
FAGR_UCONN_00130	244	XP_050265033.1(S)-N-methylcoclaurine 3'-hydroxylase isozyme 1-like	GO:0004497;GO:0005506;GO:0016705;GO:0020037;GO:0016020
FAGR_UCONN_00131	303	XP_030923869.1chitinase 2-like	GO:0005975;GO:0004553
FAGR_UCONN_00132	102	XP_028083950.1uncharacterized protein LOC114285142	GO:0046983;GO:0016020
FAGR_UCONN_00133	386	"XP_042974855.1uncharacterized protein LOC122306491, partial"	GO:0015074;GO:0003676;GO:0008270
FAGR_UCONN_00134	91	XP_022154131.1protein slowmo homolog	GO:0015914;GO:0120009;GO:1990050;GO:0005758
FAGR_UCONN_00135	632	XP_030963797.1exocyst complex component EXO70B1	GO:0006887;GO:0015031;GO:0005546;GO:0000145
FAGR_UCONN_00136	736	KAF3961445.1hypothetical protein CMV_013935	GO:0009987;GO:0048856
FAGR_UCONN_00137	113	XP_030931181.1SKP1-like protein 1A	GO:0031146;GO:0097602;GO:0005634;GO:0005737
FAGR_UCONN_00138	1383	XP_050259189.1uncharacterized protein LOC126704212	
FAGR_UCONN_00139	500	XP_022769624.1LOW QUALITY PROTEIN: uncharacterized protein LOC111313212	GO:0006807;GO:0043170;GO:0044238
FAGR_UCONN_00140	578	XP_030946333.1pentatricopeptide repeat-containing protein At4g22760-like	GO:0009451;GO:0003723;GO:0043231
FAGR_UCONN_00141	399	GFS34988.1hypothetical protein Acr_00g0037170	GO:0044237;GO:0044238;GO:0071704;GO:0003824
FAGR_UCONN_00142	117	KAE8009682.1hypothetical protein FH972_006106	GO:0098655;GO:0005227;GO:0005886
FAGR_UCONN_00143	316	XP_050252264.1uncharacterized protein LOC126698826 isoform X1	GO:0006355;GO:0006383;GO:0003677;GO:0000127;GO:0005634
FAGR_UCONN_00144	451	XP_030954246.1pentatricopeptide repeat-containing protein At2g36730	GO:0009451;GO:0003723
FAGR_UCONN_00145	197	KAF3959139.1hypothetical protein CMV_016019	GO:0016567;GO:0016874;GO:0016020
FAGR_UCONN_00146	279	RVW71911.1Retrovirus-related Pol polyprotein from transposon TNT 1-94	GO:0005488
FAGR_UCONN_00147	111	POE51442.1pentatricopeptide repeat-containing protein	GO:0009451;GO:0003723
FAGR_UCONN_00148	213	XP_030940176.1uncharacterized protein LOC115965123	
FAGR_UCONN_00149	107	XP_023887158.1LOW QUALITY PROTEIN: protein O-glucosyltransferase 1-like	GO:0016740;GO:0016020
FAGR_UCONN_00150	244	XP_020099529.1protein FAR-RED IMPAIRED RESPONSE 1-like	GO:0006355;GO:0008270;GO:0005634
FAGR_UCONN_00151	853	XP_023912072.1putative disease resistance protein RGA4	GO:0006952;GO:0051707;GO:0043531
FAGR_UCONN_00152	1350	XP_030936391.1uncharacterized protein LOC115961572	
FAGR_UCONN_00153	120	KAF3943313.1hypothetical protein CMV_030116	
FAGR_UCONN_00154	119	XP_010649469.1PREDICTED: uncharacterized protein LOC104879198	GO:0016020
FAGR_UCONN_00155	321	XP_050269853.1AP2/ERF and B3 domain-containing transcription factor RAV1-like	GO:0006355;GO:0003677;GO:0003700;GO:0005634
FAGR_UCONN_00156	189	XP_023914604.1dirigent protein 23-like	GO:0009699;GO:0048046
FAGR_UCONN_00157	386	XP_050240086.1KIN17-like protein isoform X8	
FAGR_UCONN_00158	305	GAV83197.1DUF4219 domain-containing protein/UBN2 domain-containing protein	GO:0003676;GO:0008270
FAGR_UCONN_00159	408	XP_038974948.1uncharacterized protein LOC120106130	GO:0015074;GO:0003676;GO:0008270
FAGR_UCONN_00160	443	XP_030925127.1aspartic proteinase PCS1	GO:0006508;GO:0004190
FAGR_UCONN_00161	384	"XP_050261263.1signal recognition particle 43 kDa protein, chloroplastic"	
FAGR_UCONN_00162	155	"XP_030931787.1alpha-1,3-arabinosyltransferase XAT3-like isoform X2"	GO:0016763;GO:0005794;GO:0016020
FAGR_UCONN_00163	184	OMO58913.1reverse transcriptase	GO:0006278;GO:0015074;GO:0003676;GO:0003964;GO:0004523;GO:0008270
FAGR_UCONN_00164	1240	TQE01264.1hypothetical protein C1H46_013171	GO:0006278;GO:0015074;GO:0003676;GO:0003964;GO:0008270;GO:0016740;GO:0016779
FAGR_UCONN_00165	141	XP_050276268.1putative calcium-binding protein CML19	GO:0005509
FAGR_UCONN_00166	530	XP_030955108.1AAA-ATPase At5g57480-like	GO:0006950;GO:0005524;GO:0016887;GO:0016020
FAGR_UCONN_00167	570	RVW71911.1Retrovirus-related Pol polyprotein from transposon TNT 1-94	GO:0015074;GO:0003676;GO:0008270
FAGR_UCONN_00168	465	"XP_042944495.1uncharacterized protein LOC122278367, partial"	
FAGR_UCONN_00169	206	KAJ0535981.1putative RNA-directed DNA polymerase	GO:0003676;GO:0008270
FAGR_UCONN_00170	233	XP_030940244.1uncharacterized protein LOC115965205	GO:0003676;GO:0008270
FAGR_UCONN_00171	196	"KAI3453505.1hypothetical protein Pfo_010168, partial"	GO:0006511;GO:0009867;GO:0016310;GO:0016567;GO:0004674;GO:0005524;GO:0140640;GO:0005840;GO:1990904
FAGR_UCONN_00172	458	KAH9658405.1hypothetical protein KPL70_023484	GO:0015074;GO:0003676
FAGR_UCONN_00173	852	KAA8524269.1hypothetical protein F0562_010692	GO:0015074;GO:0003676;GO:0008270
FAGR_UCONN_00174	201	XP_050248762.1uncharacterized protein LOC126696015	
FAGR_UCONN_00175	142	"XP_020113283.1uncharacterized protein LOC109727552, partial"	
FAGR_UCONN_00176	351	RVW71911.1Retrovirus-related Pol polyprotein from transposon TNT 1-94	GO:0015074;GO:0003676
FAGR_UCONN_00177	199	KAI5338518.1hypothetical protein L3X38_017789	GO:0003676;GO:0004523;GO:0008270;GO:0016779
FAGR_UCONN_00178	479	"XP_050286658.1pentatricopeptide repeat-containing protein At3g26782, mitochondrial-like isoform X2"	GO:0006629;GO:0009451;GO:0140042;GO:0003723;GO:0008270;GO:0005789
FAGR_UCONN_00179	1230	RVW23445.1Retrovirus-related Pol polyprotein from transposon TNT 1-94	GO:0015074;GO:0003676;GO:0008270
FAGR_UCONN_00180	189	XP_039682993.1uncharacterized protein LOC120576083	GO:0016020
FAGR_UCONN_00181	359	XP_050259225.1protein ASPARTIC PROTEASE IN GUARD CELL 1-like	GO:0008233
FAGR_UCONN_00182	403	"XP_042983356.1uncharacterized protein LOC122312767, partial"	
FAGR_UCONN_00183	436	KAH9705009.1Endonuclease	
FAGR_UCONN_00184	160	GAV65970.1zf-CCHC domain-containing protein/DUF4219 domain-containing protein/UBN2 domain-containing protein	GO:0005488
FAGR_UCONN_00185	116	XP_050288072.1uncharacterized mitochondrial protein AtMg00820-like	GO:0015074;GO:1990961;GO:0003676;GO:0004519;GO:0015297;GO:0042910;GO:0016020
FAGR_UCONN_00186	906	KAA8517060.1hypothetical protein F0562_017122	GO:0015074;GO:0003676
FAGR_UCONN_00187	130	XP_030963930.1uncharacterized protein LOC115985101	GO:0006278;GO:0003964
FAGR_UCONN_00188	1025	"XP_030947237.1LOW QUALITY PROTEIN: pentatricopeptide repeat-containing protein At5g57250, mitochondrial"	
FAGR_UCONN_00189	157	KAB1227823.1Protein NRT1/ PTR FAMILY 2.9	GO:0006817;GO:0055085;GO:0022857;GO:0005886
FAGR_UCONN_00190	460	POF06586.1hypothetical protein CFP56_17320	
FAGR_UCONN_00191	496	KAH9697118.1protein kinase domain-containing protein	GO:0015074;GO:0016310;GO:0003676;GO:0016301
FAGR_UCONN_00192	123	CAN76612.1hypothetical protein VITISV_040104	GO:0015074;GO:0003676;GO:0008270
FAGR_UCONN_00193	345	KAI8572030.1hypothetical protein RHMOL_Rhmol01G0167300	
FAGR_UCONN_00194	407	KAI3416895.1uncharacterized protein J3R85_015007	GO:0015074;GO:0003676;GO:0008270
FAGR_UCONN_00195	446	KAF3950958.1hypothetical protein CMV_023349	GO:0015979;GO:0015995;GO:0045550;GO:0071949;GO:0102067
FAGR_UCONN_00196	338	XP_030973890.1dof zinc finger protein DOF5.7-like	GO:0006355;GO:0003677;GO:0003700;GO:0046872;GO:0005634
FAGR_UCONN_00197	357	POF09989.1putative f-box/fbd/lrr-repeat protein	
FAGR_UCONN_00198	1292	XP_050248091.1uncharacterized protein LOC126695403	
FAGR_UCONN_00199	165	XP_023909552.1uncharacterized protein LOC112021218	GO:0005975;GO:0004553;GO:0016787
FAGR_UCONN_00200	275	XP_030948774.1protein INAPERTURATE POLLEN1	GO:0006351;GO:0043565
FAGR_UCONN_00201	561	KAF3944083.1hypothetical protein CMV_029417	GO:0009451;GO:0003723
FAGR_UCONN_00202	154	"XP_050245468.1lycopene beta cyclase, chloroplastic/chromoplastic-like"	GO:0016117;GO:0016705;GO:0016860;GO:0046983
FAGR_UCONN_00203	376	"XP_042974855.1uncharacterized protein LOC122306491, partial"	GO:0015074;GO:0003676;GO:0008270
FAGR_UCONN_00204	150	XP_030957102.1nuclear transcription factor Y subunit B-4	GO:0045944;GO:0000978;GO:0001228;GO:0046982;GO:0016602
FAGR_UCONN_00205	649	KAF5475573.1hypothetical protein F2P56_007367	GO:0015074;GO:0003676
FAGR_UCONN_00206	378	KAG6729257.1hypothetical protein I3842_01G018300	GO:0006355;GO:0006383;GO:0003677;GO:0000127;GO:0005634
FAGR_UCONN_00207	369	XP_030952192.1putative serine/threonine-protein kinase	GO:0016310;GO:0004674;GO:0005524;GO:0005886
FAGR_UCONN_00208	543	RVW33499.1Transposon Tf2-2 polyprotein	GO:0006807;GO:0009987;GO:0043170;GO:0044238;GO:0016740
FAGR_UCONN_00209	329	"XP_023880430.1LOW QUALITY PROTEIN: uncharacterized protein LOC111992800, partial"	GO:0003676;GO:0008270
FAGR_UCONN_00210	468	XP_030946397.1uncharacterized protein LOC115970914	GO:0045927
FAGR_UCONN_00211	184	GAV65970.1zf-CCHC domain-containing protein/DUF4219 domain-containing protein/UBN2 domain-containing protein	GO:0005488
FAGR_UCONN_00212	425	RVW42845.1Retrovirus-related Pol polyprotein from transposon TNT 1-94	GO:0006952;GO:0051707;GO:0043167;GO:0097159
FAGR_UCONN_00213	443	KAF3957772.1hypothetical protein CMV_017250	GO:0046872;GO:0016020
FAGR_UCONN_00214	478	XP_020099018.1protein FAR-RED IMPAIRED RESPONSE 1-like	GO:0006355;GO:0008270;GO:0046872;GO:0005634
FAGR_UCONN_00215	337	XP_050256964.1probable carboxylesterase 18	GO:0009860;GO:0052689
FAGR_UCONN_00216	180	XP_030936177.1uncharacterized protein LOC115961319	
FAGR_UCONN_00217	216	PKI70610.1hypothetical protein CRG98_008984	GO:0015074;GO:0003676;GO:0008270
FAGR_UCONN_00218	380	XP_023922530.1F-box/kelch-repeat protein At1g23390	GO:0043161;GO:0005634;GO:0005829
FAGR_UCONN_00219	1014	"XP_041012965.1uncharacterized protein LOC121256286, partial"	
FAGR_UCONN_00220	267	RVW33499.1Transposon Tf2-2 polyprotein	GO:0006807;GO:0009987;GO:0043170;GO:0044238;GO:0016740
FAGR_UCONN_00221	148	XP_023871503.1uncharacterized protein LOC111984114	
FAGR_UCONN_00222	129	KAA8524272.1hypothetical protein F0562_010695	
FAGR_UCONN_00223	176	XP_050255780.1uncharacterized protein LOC126701606	
FAGR_UCONN_00224	161	KAF5447245.1hypothetical protein F2P56_032813	GO:0015074;GO:0003676
FAGR_UCONN_00225	68	XP_028957888.140S ribosomal protein S4-like isoform X2	GO:0006412;GO:0003735;GO:0019843;GO:0005840;GO:1990904
FAGR_UCONN_00226	72	KAG7968528.1hypothetical protein I3843_08G159200	GO:0006633;GO:0031408;GO:0034440;GO:0016702;GO:0046872;GO:0005737
FAGR_UCONN_00227	176	XP_030940564.1zinc-finger homeodomain protein 10-like	GO:0006355;GO:0000976;GO:0003700;GO:0005634
FAGR_UCONN_00228	292	KAE8077714.1hypothetical protein FH972_016248	GO:0003677;GO:0005634
FAGR_UCONN_00229	211	KAB1218417.1Miraculin	GO:0004866
FAGR_UCONN_00230	187	XP_038988320.1uncharacterized protein LOC103698532 isoform X4	GO:0015074;GO:0003676
FAGR_UCONN_00231	126	XP_050240076.1nuclear transcription factor Y subunit B-5-like	GO:0045944;GO:0000978;GO:0001228;GO:0016853;GO:0046982;GO:0016602
FAGR_UCONN_00232	266	"XP_023879544.1(-)-isopiperitenol/(-)-carveol dehydrogenase, mitochondrial-like"	GO:0016491
FAGR_UCONN_00233	494	KAI3744092.1hypothetical protein L1987_57167	GO:0006278;GO:0015074;GO:0003676;GO:0003964;GO:0008270
FAGR_UCONN_00234	1199	XP_038975729.1uncharacterized protein LOC120106748	GO:0015074;GO:0003676;GO:0008270
FAGR_UCONN_00235	160	KAB1214488.1Fork-head transcriptional regulator FHL1	GO:0060962;GO:0043565;GO:0005634
FAGR_UCONN_00236	494	"XP_042974855.1uncharacterized protein LOC122306491, partial"	GO:0015074;GO:0003676
FAGR_UCONN_00237	367	XP_023916945.1mitogen-activated protein kinase kinase kinase 17-like	GO:0016310;GO:0004674;GO:0005524
FAGR_UCONN_00238	202	XP_023913981.1uncharacterized protein LOC112025541	GO:0005488;GO:0016740
FAGR_UCONN_00239	440	XP_023904203.1putative nuclease HARBI1	
FAGR_UCONN_00240	966	XP_038975729.1uncharacterized protein LOC120106748	GO:0005488
FAGR_UCONN_00241	198	XP_038988320.1uncharacterized protein LOC103698532 isoform X4	GO:0005488
FAGR_UCONN_00242	694	XP_050248646.1uncharacterized protein LOC126695894	GO:0010073
FAGR_UCONN_00243	1356	KAA8517060.1hypothetical protein F0562_017122	GO:0097159
FAGR_UCONN_00244	216	XP_030927878.1pathogenesis-related protein 1A	GO:0005615
FAGR_UCONN_00245	1351	KAA8517060.1hypothetical protein F0562_017122	GO:0097159
FAGR_UCONN_00246	470	"XP_041012965.1uncharacterized protein LOC121256286, partial"	GO:0003676;GO:0008270
FAGR_UCONN_00247	171	XP_030964979.1uncharacterized protein LOC115986274	
FAGR_UCONN_00248	209	XP_038988320.1uncharacterized protein LOC103698532 isoform X4	GO:0005488
FAGR_UCONN_00249	131	"GAV88942.1UBN2 domain-containing protein, partial"	GO:0005488
FAGR_UCONN_00250	189	XP_018854674.1flavanone 3-dioxygenase 3	GO:0046872;GO:0051213
FAGR_UCONN_00251	486	XP_030945320.1probable aspartyl protease At4g16563	GO:0006508;GO:0004190;GO:0005576
FAGR_UCONN_00252	186	XP_030937250.1uncharacterized protein LOC115962535	GO:0003824
FAGR_UCONN_00253	160	XP_030924830.1uncharacterized protein LOC115951830	
FAGR_UCONN_00254	464	XP_023880705.1cytochrome P450 94A1-like	GO:0004497;GO:0005506;GO:0016705;GO:0020037;GO:0016020
FAGR_UCONN_00255	466	KAF3953012.1hypothetical protein CMV_021495	GO:0008194
