Season,Year,Site,Module,Predictor,Category,GO.terms,Super.Cluster,,,,,
spring,2019,SERC,grey,growth.strategy,BP,abaxial cell fate specification,purple,,,,,
spring,2019,SERC,grey,growth.strategy,BP,meristem strucutral organization,purple,,,,,
spring,2019,SERC,dkred,growth.strategy,CC,extracellular region,red,repeated for fall 2019 SERC ryblue module CC,,,,
spring,2019,SERC,dkred,growth.strategy,CC,replication fork,teal,,,,,
spring,2019,SERC,dkred,growth.strategy,CC,"proteasomal core complex, alpha-subunit complex",orange,,,,,
spring,2019,SERC,dkred,growth.strategy,CC,Rad51C-XRCC3 complex,orange,,,,,
spring,2019,SERC,dkred,growth.strategy,CC,U12-type spliceosomal complex,orange,,,,,
spring,2019,SERC,dkred,growth.strategy,CC,apoplast,blue,,,,,
spring,2019,SERC,grey,growth.strategy,CC,clathrin-coated pit,red,,,,,
spring,2019,SERC,grey,growth.strategy,CC,clathrin-coated vesicle,teal,,,,,
spring,2019,SERC,grey,growth.strategy,CC,tRNA-intron endonuclease complex,teal,,,,,
spring,2019,SERC,grey,growth.strategy,CC,proteasome complex,teal,,,,,
spring,2019,SERC,grey,growth.strategy,CC,spindle microtubule,teal,,,,,
spring,2019,SERC,grey,growth.strategy,CC,plastoglobule,teal,,,,,
spring,2019,SERC,grey,growth.strategy,CC,microtubule cytoskeleton,teal,,,,,
spring,2019,SERC,grey,growth.strategy,CC,Ctf18 RFC-like complex,teal,,,,,
spring,2019,SERC,grey,growth.strategy,CC,SMC loading complex,teal,,,,,
spring,2019,SERC,grey,growth.strategy,CC,chromosome passenger complex,teal,,,,,
spring,2019,SERC,grey,growth.strategy,CC,PCNA complex,teal,,,,,
spring,2019,SERC,grey,growth.strategy,CC,pero…,orange,,,,,
spring,2019,SERC,dkred,growth.strategy,MF,four-way junction DNA binding,red,,,,,
spring,2019,SERC,dkred,growth.strategy,MF,ribonuclease P activity,teal,,,,,
spring,2019,SERC,dkred,growth.strategy,MF,crossover junction DNA endonuclease activity,teal,,,,,
spring,2019,SERC,dkred,growth.strategy,MF,phosphoglycolate phosphatase activity,teal,,,,,
spring,2019,SERC,dkred,growth.strategy,MF,acyl-CoA hydrolase activity,teal,,,,,
spring,2019,SERC,dkred,growth.strategy,MF,shikimate 3-dehydrogenase (NADP+) activity,orange,,,,,
spring,2019,SERC,dkred,growth.strategy,MF,ent-kaurenoate oxidase activity,orange,,,,,
spring,2019,SERC,dkred,growth.strategy,MF,S-linalool synthase activity,purple,,,,,
spring,2019,SERC,dkred,growth.strategy,MF,3-dehydroquinate dehydratase activity,purple,,,,,
spring,2019,SERC,dkred,growth.strategy,MF,ribosome binding ,light orange,,,,,
spring,2019,SERC,dkred,growth.strategy,MF,L-tyrosine:2-oxoglutarate aminotransferase activity,blue,,,,,
spring,2019,SERC,dkred,growth.strategy,MF,nickel cation binding,green,,,,,
spring,2019,SERC,grey,growth.strategy,MF,monooxygenase activity,red,,,,,
spring,2019,SERC,grey,growth.strategy,MF,L-iditol 2-dehydrogenase activity,red,,,,,
spring,2019,SERC,grey,growth.strategy,MF,"phosphatidylinositol-4,5-bisphosphate binding",teal,,,,,
spring,2019,SERC,grey,growth.strategy,MF,cholesterol binding,teal,,,,,
spring,2019,SERC,grey,growth.strategy,MF,tRNA-uridine aminocarboxypropltransferase activity,orange,,,,,
spring,2019,SERC,grey,growth.strategy,MF,DNA-(apurinic or apyrimidinic site) endonuclease activity,orange,,,,,
spring,2019,SERC,grey,growth.strategy,MF,double-stranded DNA 3'-5' DNA exonuclease activity,orange,,,,,
spring,2019,SERC,grey,growth.strategy,MF,historne kinase activity,orange,,,,,
spring,2019,SERC,grey,growth.strategy,MF,DNA polymerase processivity factor activity,blue,,,,,
spring,2019,SERC,grey,growth.strategy,MF,clathrin heavy chain binding,green,,,,,
spring,2019,SERC,grey,growth.strategy,MF,SNARE binding,green,,,,,
spring,2019,SERC,grey,growth.strategy,MF,signaling receptor binding,green,,,,,
spring,2019,SERC,grey,growth.strategy,MF,identical protein binding,green,,,,,
spring,2019,SERC,grey,growth.strategy,MF,gamma-tubulin binding,green,,,,,
summer,2017,"SERC, HF",turquise,SLA,BP,ribosomal large subunit assembly,red,,,,,
summer,2017,"SERC, HF",turquise,SLA,BP,telomere capping,red,,,,,
summer,2017,"SERC, HF",turquise,SLA,BP,actin filament bundle assembly,red,,,,,
summer,2017,"SERC, HF",turquise,SLA,BP,cytokinesis by cell plate formation,teal,,,,,
summer,2017,"SERC, HF",turquise,SLA,BP,regulation of transcription by RNA polymerase II,orange,,,,,
summer,2017,"SERC, HF",turquise,SLA,BP,regulation of DNA-templated transciption,orange,,,,,
summer,2017,"SERC, HF",turquise,SLA,BP,transcription by RNA polymerase III,blue,,,,,
summer,2017,"SERC, HF",turquise,SLA,BP,tryptophan biosynthetic process,blue,,,,,
summer,2017,"SERC, HF",turquise,SLA,BP,DNA replication synthesis of RNA primer,blue,,,,,
summer,2017,"SERC, HF",turquise,SLA,BP,flavonoid biosynthetic process,blue,,,,,
summer,2017,"SERC, HF",turquise,SLA,BP,diterpenoid biosynthetic process,blue,,,,,
summer,2017,"SERC, HF",turquise,SLA,BP,glutathione metabolic process,green,,,,,
summer,2017,"SERC, HF",turquise,SLA,BP,unidimensional cell growth,light orange,,,,,
summer,2017,"SERC, HF",turquise,SLA,BP,response to light stimulus,purple,,,,,
summer,2017,"SERC, HF",turquise,SLA,BP,nitrate transmembrane transport,lavendar,,,,,
summer,2017,"SERC, HF",green,SLA,BP,nitrogen compound metabolic process,red,,,,,
summer,2017,"SERC, HF",green,SLA,BP,primary metabolic process,red,,,,,
summer,2017,"SERC, HF",green,SLA,BP,homologous chromosome pairing at meiosis,teal,,,,,
summer,2017,"SERC, HF",green,SLA,BP,actin cytoskeleton organization,teal,,,,,
summer,2017,"SERC, HF",green,SLA,BP,mitotic intra-S DNA damage checkpoint signaling,teal,,,,,
summer,2017,"SERC, HF",green,SLA,BP,photosynthetic electron transport in photosystem II,orange,,,,,
summer,2017,"SERC, HF",green,SLA,BP,sterol transport,blue,,,,,
summer,2017,"SERC, HF",green,SLA,BP,potassium ion transport,blue,,,,,
summer,2017,"SERC, HF",green,SLA,BP,response to endoplasmic reticulum stress,purple,,,,,
summer,2017,"SERC, HF",green,SLA,BP,defense response,purple,,,,,
summer,2017,"SERC, HF",green,SLA,BP,ethylene-activated signaling pathway,purple,,,,,
summer,2017,"SERC, HF",green,SLA,BP,sterol metabolic process,green,,,,,
summer,2017,"SERC, HF",green,SLA,BP,de novo' IMP biosynthetic process,green,,,,,
summer,2017,"SERC, HF",turquise,SLA,CC,transcription factor TFIIC complex,red,,,,,
summer,2017,"SERC, HF",turquise,SLA,CC,RNA polymerase III complex,red,,,,,
summer,2017,"SERC, HF",turquise,SLA,CC,alpha DNA polymerase: primase complex,red,,,,,
summer,2017,"SERC, HF",turquise,SLA,CC,nuclear RNA-directed RNA polymerase complex,red,,,,,
summer,2017,"SERC, HF",turquise,SLA,CC,cyosol,teal,,,,,
summer,2017,"SERC, HF",turquise,SLA,CC,nucleus,teal,,,,,
summer,2017,"SERC, HF",turquise,SLA,CC,mitochondrial outer membrane,teal,,,,,
summer,2017,"SERC, HF",green,SLA,CC,ER to Golgi transport vesicle membrane,red,,,,,
summer,2017,"SERC, HF",green,SLA,CC,chloroplast thylakoid membrane,red,,,,,
summer,2017,"SERC, HF",turquise,SLA,MF,DNA-binding transcription factor activity,red,,,,,
summer,2017,"SERC, HF",turquise,SLA,MF,DNA primase activity,red,,,,,
summer,2017,"SERC, HF",turquise,SLA,MF,RNA methylransferase activity,red,,,,,
summer,2017,"SERC, HF",turquise,SLA,MF,metalloendopeptidase activity,teal,,,,,
summer,2017,"SERC, HF",turquise,SLA,MF,ATP hydrolysis activity,teal,,,,,
summer,2017,"SERC, HF",turquise,SLA,MF,terpene synthase activity,orange,,,,,
summer,2017,"SERC, HF",turquise,SLA,MF,UDP-glucosyltransferase activity,purple,,,,,
summer,2017,"SERC, HF",turquise,SLA,MF,glutathione transferase activity,purple,,,,,
summer,2017,"SERC, HF",turquise,SLA,MF,glutathione binding,light orange,,,,,
summer,2017,"SERC, HF",turquise,SLA,MF,2-oxoglutarate-dependent dioxygenase activity,blue,,,,,
summer,2017,"SERC, HF",turquise,SLA,MF,C-19 gibberellin 2-beta-dioxygenase activity,blue,,,,,
summer,2017,"SERC, HF",turquise,SLA,MF,ligase activity,green,,,,,
summer,2017,"SERC, HF",green,SLA,MF,DNA-binding transcription factor activity,red,,,,,
summer,2017,"SERC, HF",green,SLA,MF,binding,teal,,,,,
summer,2017,"SERC, HF",green,SLA,MF,iron ion binding,orange,,,,,
summer,2017,"SERC, HF",green,SLA,MF,calcium-dependnet phospholipid binding,blue,,,,,
summer,2017,"SERC, HF",green,SLA,MF,heme binding,green,,,,,
summer,2017,"SERC, HF",green,SLA,MF,DNA binding,green,,,,,
summer,2017,"SERC, HF",green,SLA,MF,chlorophyll binding,green,,,,,
summer,2017,"SERC, HF",green,SLA,MF,"electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity",purple,,,,,
fall,2017,"SERC, HF",cyan,SLA,BP,mitotic cell cycle,red,,,,,
fall,2017,"SERC, HF",cyan,SLA,BP,G1/S transition of mitotis cell cycle,red,,,,,
fall,2017,"SERC, HF",cyan,SLA,BP,homologous chromosome pairing at meiosis,red,,,,,
fall,2017,"SERC, HF",cyan,SLA,BP,DNA repair,teal,,,,,
fall,2017,"SERC, HF",cyan,SLA,BP,defense response to oomycetes,teal,,,,,
fall,2017,"SERC, HF",cyan,SLA,BP,cellular response to stimulus,teal,,,,,
fall,2017,"SERC, HF",cyan,SLA,BP,mismatch repair invovled in maintenance of fidelity invovled in DNA-dependent DNA replication,teal,,,,,
fall,2017,"SERC, HF",cyan,SLA,BP,cellular response to high light intensity,teal,,,,,
fall,2017,"SERC, HF",cyan,SLA,BP,response to arsenite ion,teal,,,,,
fall,2017,"SERC, HF",cyan,SLA,BP,meristem development,purple,,,,,
fall,2017,"SERC, HF",cyan,SLA,BP,proline catabolic process to glutamate,green,,,,,
fall,2017,"SERC, HF",cyan,SLA,BP,circadian rhythm,blue,,,,,
fall,2017,"SERC, HF",cyan,SLA,BP,CDP-choline pathway,orange,,,,,
fall,2017,"SERC, HF",cyan,SLA,BP,kinetochore assembly,light orange,,,,,
fall,2017,"SERC, HF",cyan,SLA,BP,chromatin remodeling,light orange,,,,,
fall,2017,"SERC, HF",cyan,SLA,BP,vesicle budding from membrane,,,,,,
fall,2017,"SERC, HF",cyan,SLA,BP,endomembrane system organization,,,,,,
fall,2017,"SERC, HF",cyan,SLA,BP,SNARE complex diassembly,,,,,,
fall,2017,"SERC, HF",cyan,SLA,BP,maintenance of rDNA,light orange,,,,,
fall,2017,"SERC, HF",cyan,SLA,BP,[2Fe-2S] cluster assembly,light orange,,,,,
fall,2017,"SERC, HF",cyan,SLA,BP,telomeric loop diassembly,light orange,,,,,
fall,2017,"SERC, HF",cyan,SLA,BP,sulfate ion homeostasis,lavendar,,,,,
fall,2017,"SERC, HF",cyan,SLA,BP,copper ion homeostasis,lavendar,,,,,
fall,2017,"SERC, HF",cyan,SLA,BP,sodium ion import across plasma membrane,salmon,,,,,
fall,2017,"SERC, HF",cyan,SLA,BP,proton transmembrane transport,salmon,,,,,
fall,2017,"SERC, HF",cyan,SLA,BP,negative regulation to t-circle formation,light blue,,,,,
fall,2017,"SERC, HF",cyan,SLA,BP,negative regulation of cell population proliferation,light blue,,,,,
fall,2017,"SERC, HF",cyan,SLA,BP,regulation of G2/M transition of mitotic cell cycle,light blue,,,,,
fall,2017,"SERC, HF",cyan,SLA,CC,autophagosome,red,,,,,
fall,2017,"SERC, HF",cyan,SLA,CC,Cul4A-RING E3 ubiquitin ligase complex,teal,,,,,
fall,2017,"SERC, HF",cyan,SLA,CC,nuclear inner membrane,teal,,,,,
fall,2017,"SERC, HF",cyan,SLA,CC,nascent polypeptide-associated complex,teal,,,,,
fall,2017,"SERC, HF",cyan,SLA,CC,MutSalpha complex,teal,,,,,
fall,2017,"SERC, HF",cyan,SLA,CC,FANCM-MHF complex,teal,,,,,
fall,2017,"SERC, HF",cyan,SLA,CC,apoplast,orange,,,,,
fall,2017,"SERC, HF",cyan,SLA,CC,Casparian strip,blue,,,,,
fall,2017,"SERC, HF",cyan,SLA,CC,plasma membrane,blue,,,,,
fall,2017,"SERC, HF",cyan,SLA,MF,3'-5' RNA exonuclease activity,red,,,,,
fall,2017,"SERC, HF",cyan,SLA,MF,beta-fructofuranosidase activity,red,,,,,
fall,2017,"SERC, HF",cyan,SLA,MF,"hydrolase activity, hydrolyzing N-glycosyl compounds",red,,,,,
fall,2017,"SERC, HF",cyan,SLA,MF,ATPase activator activtiy,teal,,,,,
fall,2017,"SERC, HF",cyan,SLA,MF,aldehyde dehydrogenase (NAD+) activity,orange,,,,,
fall,2017,"SERC, HF",cyan,SLA,MF,1-pyrroline-5-carboxylate dehydrogenase activity,orange,,,,,
fall,2017,"SERC, HF",cyan,SLA,MF,transmembrane receptor protein serine/threonine kinase activity,orange,,,,,
fall,2017,"SERC, HF",cyan,SLA,MF,cyclin-dependent protein serine/threonine kinase activity,orange,,,,,
fall,2017,"SERC, HF",cyan,SLA,MF,glyceraldehyde-3-phosphate dehydrogenase (NAD+) (non-phosphorylating) activity,orange,,,,,
fall,2017,"SERC, HF",cyan,SLA,MF,protein-disulfide reductase activity,orange,,,,,
fall,2017,"SERC, HF",cyan,SLA,MF,lactoperoxidase activity,orange,,,,,
fall,2017,"SERC, HF",cyan,SLA,MF,diacylglycerol cholinephosphoterase activity,blue,,,,,
fall,2017,"SERC, HF",cyan,SLA,MF,DNA polymerase binding,purple,,,,,
fall,2017,"SERC, HF",cyan,SLA,MF,cyclin binding,purple,,,,,
fall,2017,"SERC, HF",cyan,SLA,MF,clathrin heavy chain binding,purple,,,,,
fall,2017,"SERC, HF",cyan,SLA,MF,potassium: proton antiporter activity,red,,,,,
fall,2017,"SERC, HF",cyan,SLA,MF,P-type divalent copper transporter activity,green,,,,,
fall,2017,"SERC, HF",mdntlbue,SLA,BP,protein secretion,red,,,,,
fall,2017,"SERC, HF",mdntlbue,SLA,BP,response to light stimulus,teal,,,,,
fall,2017,"SERC, HF",mdntlbue,SLA,BP,DNA replication checkpoint signaling,teal,,,,,
fall,2017,"SERC, HF",mdntlbue,SLA,BP,gibberellin biosynthetic process,orange,,,,,
fall,2017,"SERC, HF",mdntlbue,SLA,BP,fructose metabolic process,orange,,,,,
fall,2017,"SERC, HF",mdntlbue,SLA,BP,ATP biosynthetic process,orange,,,,,
fall,2017,"SERC, HF",mdntlbue,SLA,BP,coenzyme A biosynthetic process,orange,,,,,
fall,2017,"SERC, HF",mdntlbue,SLA,BP,regulation of systemic acquired resistance,blue,,,,,
fall,2017,"SERC, HF",mdntlbue,SLA,BP,cell-cell adhesion,green,,,,,
fall,2017,"SERC, HF",mdntlbue,SLA,BP,mitotic DNA replication initiation,purple,,,,,
fall,2017,"SERC, HF",mdntlbue,SLA,BP,double-strand break repair via break-induced replication,purple,,,,,
fall,2017,"SERC, HF",mdntlbue,SLA,BP,DNA unwinging invovled in DNA replication,purple,,,,,
fall,2017,"SERC, HF",mdntlbue,SLA,BP,replication fork arrest,purple,,,,,
fall,2017,"SERC, HF",mdntlbue,SLA,CC,ribosome,red,,,,,
fall,2017,"SERC, HF",mdntlbue,SLA,CC,ribonucleoprotein complex,teal,,,,,
fall,2017,"SERC, HF",mdntlbue,SLA,CC,riboflavin synthase complex,teal,,,,,
fall,2017,"SERC, HF",mdntlbue,SLA,CC,replication fork protection ocmplex,teal,,,,,
fall,2017,"SERC, HF",mdntlbue,SLA,CC,THO complex,teal,,,,,
fall,2017,"SERC, HF",mdntlbue,SLA,CC,MCM complex,teal,,,,,
fall,2017,"SERC, HF",mdntlbue,SLA,CC,proton-transporting ATP synthase complex,teal,,,,,
fall,2017,"SERC, HF",mdntlbue,SLA,MF,catalytic activity,red,,,,,
fall,2017,"SERC, HF",mdntlbue,SLA,MF,pantetheine-phosphate adenylyltransferase activity,teal,,,,,
fall,2017,"SERC, HF",mdntlbue,SLA,MF,"6,7-dimethyl-8-ribityllumazine synthase activity",teal,,,,,
fall,2017,"SERC, HF",mdntlbue,SLA,MF,dephospho-CoA kinase activity,teal,,,,,
fall,2017,"SERC, HF",mdntlbue,SLA,MF,4-hydroxybenzoate nonaprenyltransferase activity,teal,,,,,
fall,2017,"SERC, HF",mdntlbue,SLA,MF,SUMO ligase activity,teal,,,,,
fall,2017,"SERC, HF",mdntlbue,SLA,MF,proton transmembrane transporter activity,orange,,,,,
fall,2017,"SERC, HF",mdntlbue,SLA,MF,ligase activity,blue,,,,,
fall,2017,"SERC, HF",mdntlbue,SLA,MF,gibberellin 20-oxidase activity,purple,,,,,
